4882	7017	3853	3487	5648	2724	7383	12	6459	3828
6938	5312	3310	2969	1568	7009	5908	7193	5068	6345
1732	1064	7818	3324	1110	6315	6769	2229	4283	3160
624	6227	4953	378	5630	7916	362	7081	439	6221
7595	3948	4267	7212	447	2245	6793	2327	1182	2575
1329	7124	6731	1058	5081	2488	3813	355	466	2181
6541	1230	4591	1735	4969	6060	6238	698	4410	6438
6888	7128	1386	3921	468	7648	2038	1345	1865	7676
5794	1666	7584	7309	5457	2944	6533	5795	12	1778
7176	307	6414	5211	5245	3109	5890	6148	9	4171
411	4481	5644	1831	6456	2820	6588	1207	1389	4298
4217	2817	2291	772	2275	7419	2097	1111	6175	6326
623	6067	7661	5438	5472	7805	2747	1996	6718	468
5269	2312	7271	7352	6504	491	4377	5239	770	219
6283	241	1161	251	4576	1357	2990	7508	5342	5988
2801	5704	5327	6723	4689	6932	5119	2132	511	7793
3644	3077	1512	5598	1367	2790	5804	2025	5702	2245
7004	4531	7698	5807	1864	7751	3272	1227	6632	6855
6711	6823	6526	2632	5778	2172	7613	4286	4084	2675
4881	2481	4555	1815	1604	6520	1216	2043	1960	6919
1803	5507	4688	3061	3570	3726	642	1440	7609	2214
7487	4875	3672	3123	5743	2486	128	225	3145	4973
1395	2788	2615	4102	395	6106	7957	997	5656	6429
3103	4919	6978	1341	1089	742	1907	7847	2861	3172
2874	3476	4310	4254	2866	1047	6237	4344	6186	1704
4374	4507	2433	3244	4862	2031	7780	3513	3003	6060
7487	1112	2486	1928	4875	7046	482	7834	3672	6984
3842	2274	1612	6149	6467	6124	2092	7836	1674	6017
3287	540	548	7706	1678	5761	696	6818	7218	4856
828	4911	2486	1891	2279	7029	4410	1022	5558	2290
2314	1049	5141	2141	1425	7454	7483	4276	2294	6834
1692	2795	4397	844	4261	7666	6047	7857	3950	2856
2806	2244	1387	4747	2175	5191	219	5866	4845	2988
2433	152	5131	5558	4495	5626	6263	1321	6839	3938
6639	5936	1042	3999	5602	3277	686	4750	6379	4098
7758	3110	389	4293	5432	3905	3490	1929	3351	2802
4005	7984	70	143	1300	1562	2027	7112	7400	1728
3295	7813	5231	4168	7425	5543	2170	4895	4929	915
3272	5840	1864	7004	5807	7751	3777	5595	1866	1321
6135	6305	5113	2305	7021	3821	2263	7457	2634	7155
3407	7793	700	4202	5704	6348	6691	6475	40	2193
224	1626	1690	4138	1320	3417	856	6915	785	788
2841	4130	6646	1464	3475	6830	1169	7310	6842	2217
7617	5694	7519	766	6818	548	3228	4856	973	4104
4347	6865	2586	3162	6251	2278	2988	3086	219	129
7965	124	7980	1976	7329	6266	4706	7837	2083	2177
405	7725	3099	6520	2043	195	1475	7869	1544	4343
384	6731	7885	3546	2522	5282	5019	4999	3813	7042
1754	5731	3619	1627	1902	2246	3431	7296	6608	7993
5496	1867	4637	337	3974	497	4702	5198	1793	7235
1680	278	2151	6943	6815	7899	7941	3163	5083	6038
3478	150	6821	3676	5647	6862	2498	5248	1931	3733
4779	7553	264	6927	1894	2262	6736	3887	1456	3657
224	1626	1320	3914	5585	7733	6857	5203	5302	3035
1743	3592	7709	7184	1296	5141	7866	4993	3623	5516
6275	1526	4046	1546	1623	325	6972	7602	4274	4282
6382	2073	5405	5572	1839	4261	5134	3501	7666	532
3252	588	5667	4988	3713	2339	7584	2626	2225	6836
3893	1514	6122	2083	6005	6474	1312	2389	5942	5378
3644	3077	1512	5598	628	4123	2790	2021	5804	2245
6282	3248	94	1475	1301	6605	1481	1342	2247	4242
1497	5563	7337	2383	6405	6343	3530	1493	1750	2400
5451	2961	4069	2294	4441	4907	2848	4558	6512	5057
2611	4907	4805	6834	2261	4402	7528	5360	3781	2141
5627	2522	5836	7885	1003	4512	4228	2460	5441	6604
5635	1457	633	3406	63	2913	1447	1421	4529	1419
2489	7031	3714	625	4629	7933	1629	5391	7942	6609
5409	1472	6416	3620	4651	6284	6147	7222	3685	4943
1883	4151	1723	1581	408	5687	7130	3885	7576	6356
2488	3498	7642	2714	5018	1923	1034	5282	3689	384
4129	5705	5362	4541	6415	2441	5859	6618	4112	5229
1893	3591	783	1818	3328	4377	4105	2965	5995	7710
3354	6663	2809	6679	6008	4924	7904	2076	2531	2373
6151	5870	30	5441	7020	5748	5252	1005	4546	4477
1324	4791	4017	2445	7458	7697	6425	6571	2791	107
3655	1370	4393	4700	3043	5832	5146	408	7293	1826
2231	4011	6265	2249	3338	3472	3102	3358	1131	5900
984	158	3093	2819	6470	4819	6403	7816	7214	5089
7873	2477	7950	6038	7659	4934	2760	4141	1678	2151
189	2317	4032	4900	6110	5391	7479	1384	4956	3325
6034	7501	2292	5754	359	2895	81	7315	5575	3031
7632	5348	6379	989	5544	3619	4211	5091	90	4076
1561	4856	548	7469	7544	5694	7743	7617	2286	4112
3986	5319	6503	5775	3745	3056	1879	3608	4837	5576
1036	7534	7355	171	6591	594	719	886	2993	4636
2209	4332	1595	1786	3567	7005	3907	2220	5565	456
3090	5048	2162	5872	7773	753	6068	7271	7548	1762
2017	4452	1113	3523	4245	830	5906	2211	5167	7327
1210	2835	3187	4034	3251	915	1487	7596	2598	7554
2390	4214	3903	2190	3130	2203	1786	1595	4332	4524
4542	54	3591	3462	5572	5788	7710	7211	1893	6325
4555	3619	4428	3470	6847	5133	1544	5006	2648	2429
1717	729	6332	2642	5280	6732	3158	5072	1830	3276
2047	450	1206	6987	6436	7404	863	7260	6035	768
1868	379	1563	1050	2005	360	3124	3179	1551	1830
2120	6128	673	5598	6944	6441	5866	3099	5079	7840
3618	5924	672	909	1674	5461	7411	5558	701	7449
4468	1060	7523	1345	4956	6617	5196	1436	2975	1427
4793	4867	854	7376	6110	7513	189	3780	7518	7745
3011	580	3889	4898	3891	2301	6608	3898	1250	679
776	3925	6416	1982	3268	5409	2447	5074	4043	6171
862	5925	3993	7868	966	4846	7410	2056	7021	1946
4893	2057	2906	6635	201	7890	1645	4112	5946	1022
3055	407	1749	2618	1757	7028	3938	2210	3641	6469
4187	6656	5240	3193	4631	4590	2437	7934	7681	3381
145	2057	2906	2852	5165	5737	1191	5410	2885	1668
6202	2289	229	3976	1855	6779	1620	1869	7842	5622
4104	5067	3777	1864	5054	6644	5595	6818	5263	3272
808	4954	5111	2366	7915	891	4991	27	2860	879
609	6785	741	1665	1457	4947	4437	3205	4738	1688
7610	7182	5840	7465	4273	6999	1268	7066	3818	1321
4854	456	2273	1712	3464	3076	1189	1374	6363	3271
7333	3519	6680	7670	509	6906	2817	3364	5970	729
3216	2297	5171	4147	5716	5951	6198	961	3288	3622
3945	7442	4843	2196	7530	3552	7181	7114	4079	2453
783	5443	4959	3588	6366	372	6566	2058	3106	4747
1394	3819	694	7545	4779	7553	7376	957	2368	1400
3389	7881	2863	5372	2673	7154	1366	4916	3476	5902
2555	2175	5647	6821	6862	120	5290	3894	3912	3688
1546	1526	1623	2913	6972	7893	1822	1791	3795	6865
5146	152	7251	6065	4687	1975	2515	2433	3885	6642
2716	7674	7122	4995	3290	3393	6039	6873	3668	2808
2683	6897	7575	7651	1461	7973	2431	4083	7958	6507
2423	7488	6591	5648	6500	1924	1158	7358	2412	2949
2151	7702	546	7899	5401	7573	3742	7910	6038	83
3153	2355	6528	6781	5596	1153	6837	460	2901	5981
5835	6835	5257	790	1233	3797	62	3025	4378	289
5818	6464	1495	4646	874	1329	2233	355	3689	4438
710	3816	661	644	4794	7696	5883	1298	7146	579
7944	5455	491	2413	1607	1598	5516	7904	7158	6331
5617	4114	2639	762	5398	6333	4254	2316	4246	1625
6594	7260	193	6991	326	2219	4109	3548	794	2307
4651	258	1517	3568	1472	4334	7941	5813	3742	6284
6524	2286	2220	924	548	3228	3629	3272	3186	1473
3936	4025	6942	2010	1429	3099	212	1475	1122	7717
6110	4900	7972	2667	1384	3405	1162	7942	3341	1956
4008	86	5706	4271	6884	7457	3065	1360	4707	7155
6793	5842	425	4169	645	4959	4796	2450	3828	4461
4218	2681	1189	7103	2542	2393	2835	2051	50	4854
4034	915	5566	5368	1073	5774	463	3694	2979	3348
7164	1456	2843	6927	5164	3003	6087	100	1886	2262
1544	5114	6847	5093	7174	5154	4829	5348	1614	1815
2514	5350	7366	2064	6811	6583	4484	2525	1030	2849
5476	7034	592	1092	7841	1618	7779	983	4647	962
1487	3375	2726	1210	1790	4034	2273	3271	4485	1712
5083	3001	1590	1460	7631	721	6447	189	3399	292
1998	4612	1400	7545	3272	3777	1864	2822	1866	6664
6007	1468	4418	498	5262	6591	6608	3891	6797	5648
890	144	2749	181	1041	530	5716	4593	2084	5112
91	2842	5486	7393	904	7597	2007	1709	6669	4020
6430	3323	1124	7675	6823	6395	84	3351	7843	4314
6178	6295	3752	3977	119	2682	5893	1977	5429	1680
4570	181	530	7513	7330	7054	6463	5739	914	147
2483	1719	7331	285	3599	2641	3642	630	5406	4744
2565	6001	3313	7261	7480	4050	3938	5237	7439	2210
2547	3101	2298	218	6410	6784	5529	2023	7811	6450
5563	6343	3530	1493	5104	5983	5754	2076	7552	2319
2674	725	4182	1964	1116	3985	1700	6148	4077	6899
905	4631	3942	3974	4384	7681	5240	6420	1033	6701
4701	7079	7893	1421	564	2913	3916	5635	3795	316
6050	3124	4339	4445	6134	7268	1030	6454	2525	5072
4590	5240	4173	6672	3193	4703	7934	2579	2437	2324
6326	1062	4249	5908	7479	6293	3129	3818	6936	1057
2893	215	718	7294	4428	3470	6220	3680	3361	2793
5584	5369	581	2979	449	575	7399	274	4741	2160
5261	3161	6807	7548	7271	2619	6068	4025	6970	1491
7372	1294	1407	4927	6367	328	3947	6401	7115	3426
6228	5650	3409	6278	4996	7069	1145	2509	830	1536
3098	7970	6676	473	3854	5126	3857	434	6116	5268
1039	2591	6675	6717	2905	7322	2399	2688	1304	6551
531	3172	44	5821	4025	4270	5756	5107	1545	2672
7899	4667	7086	6038	2151	83	7702	3741	5739	5401
5908	250	3228	7617	4382	7544	3186	3629	2286	169
5094	5068	2970	4339	7987	4315	612	7659	2431	4934
4754	3518	5438	7523	2164	4930	623	5074	1392	1388
5606	2569	516	4405	2810	6125	6767	6432	7754	6355
6799	7251	3885	1566	2568	2170	4316	3313	5730	3302
5165	6635	2906	4331	1511	4495	72	3949	2057	4929
4117	4402	2261	7822	4450	7528	1098	4907	221	2611
540	4247	4291	6485	7284	6692	2686	358	1324	3287
3367	3620	1392	5812	6067	4194	6412	7661	6789	1408
3849	3593	7248	326	4731	5424	193	4109	950	6991
776	792	4088	1376	774	7032	6416	7661	3268	2447
5869	6391	1699	5201	5229	2121	2234	1300	7193	7697
4058	451	5215	1750	5645	410	5292	6273	7755	7023
446	3357	3443	1573	1974	3774	3602	2034	1683	3334
3338	648	4985	656	5279	7471	2892	6580	339	3434
1364	2602	3822	5509	1483	193	6991	950	7393	794
3653	4288	2229	2805	919	7185	2988	3421	1835	4611
6357	2311	2730	2764	6622	961	6910	6215	4637	2904
2135	2537	618	1221	2139	393	3912	3106	1286	5722
4576	7855	1747	6407	5939	1578	3132	382	5919	4881
7173	5599	2132	7744	5	3164	4895	1343	1685	6403
607	721	256	5	7189	4541	6247	1088	1037	3818
2287	2771	1624	812	3313	7388	3946	5543	2937	6522
2341	5170	1604	3632	778	5047	7291	4901	1918	7211
1031	7769	3471	6221	4447	4768	6335	7809	7957	7896
637	3240	2469	6724	5938	7492	7392	1605	5941	2550
6697	4627	5647	2083	6862	2786	6821	6106	5907	3733
2632	4696	3929	6711	5778	4602	2172	1074	5740	462
3076	7971	6356	7318	4591	2894	4878	698	7449	1790
1355	5796	4038	7490	7971	2088	1078	3119	2361	4974
4201	2039	1719	5394	3684	5437	6273	1382	2221	5779
358	4765	3846	58	7284	7234	2991	5330	3455	2441
3013	1295	6429	6973	997	4131	1980	2322	3149	2672
3251	5062	1363	4269	5005	1638	6625	7877	4215	4140
7358	4271	6504	539	4707	886	219	1635	4936	4833
28	7724	3302	3549	7449	2979	1910	6745	2092	5039
1391	2559	309	6639	5602	2840	4750	4823	4399	7913
6829	5467	1328	3462	4039	635	5669	3516	7756	5759
5673	4123	4513	3812	7396	3077	628	6893	483	670
5433	763	4823	4736	4565	6099	2109	7185	7155	2128
6436	578	2350	863	7404	678	4625	5321	3822	4910
603	4574	7343	1964	3109	5211	1802	728	1700	4795
1106	5182	1397	5787	4613	1256	7927	3561	3591	2502
5621	7394	6307	6057	3248	4152	7488	3948	4865	5890
4460	2844	970	1077	7072	3869	6869	4203	4184	7689
7736	2045	4602	5427	5778	2966	6035	4606	1181	2936
5059	6383	5355	604	4801	2868	1788	377	921	3061
4944	729	1062	3964	6936	6856	4292	7527	2218	5072
2705	3349	4009	1067	141	7828	3792	4647	4209	5944
2497	7751	189	4392	1398	4806	5190	2545	1915	7573
1258	28	996	1910	2509	4598	6467	6017	5039	7724
6303	4927	1958	3191	5884	7721	1102	512	1793	2324
7194	4958	3740	7869	432	3912	3260	2182	7061	6862
7128	626	1054	468	3921	1386	1436	2465	7648	3320
6816	6797	3933	498	5118	1468	5919	5648	1311	4576
4548	1047	860	3476	6078	270	3662	4080	4254	6997
495	4478	4928	2947	5912	3688	5102	3748	2586	1221
758	5314	6706	354	518	4105	7979	1851	4665	783
3202	3875	6351	5458	1848	3784	748	3899	6606	3335
6700	4473	1806	6988	5825	3106	4182	4259	1918	1700
2770	6583	266	7175	5072	5958	572	1030	6050	5865
7877	7829	4129	6301	2924	3488	1142	5167	3629	3228
1199	6086	2247	6125	5994	6640	1441	2731	2094	6241
1119	3516	7606	3950	4105	5261	577	2028	664	2790
6017	7763	979	4185	6762	7261	6745	1038	4207	2792
7753	1564	2574	3138	1542	1102	1028	6672	7749	2579
5578	1934	6654	7452	1281	4860	302	5319	2358	7346
7582	2706	3104	4920	7777	6312	2713	1339	2459	5834
6260	6867	2884	1252	5771	2107	1816	2864	3990	3416
6717	6675	2688	5356	1596	1211	4586	822	5092	2399
6587	6819	3773	1808	4692	730	6079	564	4237	2375
4843	4529	3945	1419	5605	6588	6946	6941	6948	2375
5714	418	4683	2956	5538	7177	4698	854	1576	7222
2383	5500	1750	7265	5983	2518	7515	3363	5563	4230
241	378	5223	4479	7125	3790	5118	5359	6899	498
7199	7762	6514	2820	6941	5233	702	1831	1688	1419
5193	3844	7984	3028	744	2031	3096	3513	2546	6438
2730	5434	2311	2608	1756	6357	147	961	4702	2904
1744	156	107	5034	4911	4140	6356	4305	2388	7145
6996	3952	4605	3338	3401	5663	2892	5652	6573	7545
2653	3253	7155	6313	4763	5529	5022	7370	4565	6032
449	201	7399	2057	3766	6635	2906	4331	3777	6917
7151	6550	2249	1845	6433	5017	6947	2007	2676	5050
304	32	4516	6017	6166	1975	7763	6641	5506	3806
6249	4864	5603	3791	7733	4674	3283	7332	7045	410
7868	306	535	5147	3576	5795	3240	7546	791	5541
6099	5640	5433	7913	4211	1681	2093	3462	2263	1832
3546	6891	4999	6464	2881	3689	2233	1339	874	4638
3123	1928	7046	7487	4875	7376	4780	2368	4723	7633
172	6958	5116	4768	3014	2877	351	2048	432	3983
7673	5306	6850	7696	5102	4197	7660	4304	644	7045
7192	5457	7309	1586	6709	380	3007	4615	5073	4236
6314	6521	7496	2802	385	3650	2316	1810	6327	4439
1136	6622	5434	961	2764	7872	4637	6813	2904	6910
78	4849	2706	2510	5834	3373	1923	4920	7582	6219
2918	7197	213	2388	274	6041	6525	4149	5337	1128
4315	7175	3410	1824	1769	870	7659	4934	2005	7607
3813	6731	2522	7885	5836	5643	384	1833	5282	3126
4229	4747	2635	372	5151	2428	1114	523	2626	3633
2333	658	7653	5962	5634	1190	1240	3906	626	7529
58	4765	7284	4935	1133	1079	3080	7234	1768	3742
6460	2322	6807	245	7050	4093	3688	5766	5178	5677
559	2306	6974	6755	725	344	9	4926	6414	689
3805	4309	5699	6175	1977	4180	4264	3444	7376	829
4505	106	211	4490	6297	7280	2506	2685	304	5815
1292	4740	5763	6245	2508	5280	3525	1779	6276	2791
4315	2765	7221	3179	1563	7619	7835	6748	3555	4445
1910	3549	1612	7537	7411	6149	6017	979	2598	6467
2461	216	5598	4718	5702	150	422	4650	2176	3344
99	5638	5211	5890	6148	4901	5105	4182	5006	673
2464	24	323	5282	3689	5422	2488	6891	1058	6842
852	5523	6783	2866	2392	7953	1351	7723	6337	3811
777	1113	4452	6625	7426	6750	5906	4351	4017	7588
4758	5929	5132	1539	2597	6176	3245	5897	6085	626
787	183	3061	1803	4776	4143	5234	2025	7484	532
7623	1860	1560	7878	6884	4707	1428	5706	1743	3420
5926	2448	458	7396	7525	1691	5597	6596	5858	4036
4460	6850	726	2844	970	1881	4489	4184	6653	7689
7948	1414	6235	7161	3723	1401	3394	2495	3355	377
6686	93	3932	1749	6650	3049	4032	7247	1699	2121
2049	1293	4531	7004	5680	4996	1145	5046	4551	6011
6492	3303	432	4650	3912	1301	1199	6282	5554	3869
765	6897	2683	7739	4149	4879	7092	5911	5580	4612
4331	831	201	7004	3796	4140	6457	5034	7836	1473
2470	1672	5577	5248	3445	507	6224	4734	655	4771
1729	874	3701	323	4999	6464	5422	5282	595	3689
1356	7573	4331	1864	5859	7633	3946	1227	3777	6457
233	5459	2818	203	7170	2429	5931	3088	871	2963
2596	1381	6183	551	5978	2823	4822	2178	6500	5341
2186	3975	4901	5079	3950	1604	5170	4227	1692	1918
2632	2172	4606	5778	2936	5119	4084	5985	7784	2967
7336	6770	734	4673	3387	6544	1600	4148	4597	2342
6178	5429	1172	3977	3752	6295	7286	6110	2682	5863
305	7461	4364	5893	1905	3752	5042	1263	7906	1503
6716	7827	2299	1834	3509	7192	6258	4744	3793	7127
2283	2474	404	6125	6241	2247	6282	6432	3585	5899
643	6296	2621	4242	2856	6605	4285	5586	2247	3072
